#RISULTATO DI ESECUZIONE SINGLE-NODE DEL TASK 3.2 SU FLIGHT_SAMPLE_CLEANED_PARQUET
#SPARKSQL

origin	month	voli_basso	avg_dep_basso	avg_arr_basso	voli_medio	avg_dep_medio	avg_arr_medio	voli_alto	avg_dep_alto	avg_arr_alto	causa_canc_piu_frequente
ABE	3	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABE	6	2	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABE	7	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABE	8	0	0.0	0.0	1	55.0	137.0	0	0.0	0.0	N/A
ABE	9	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABI	11	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABI	12	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	1	3	5.0	4.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	2	2	0.0	13.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	3	1	0.0	0.0	2	30.0	17.5	0	0.0	0.0	N/A
ABQ	4	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	5	1	0.0	0.0	0	0.0	0.0	1	100.0	87.0	N/A
ABQ	6	2	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	7	5	7.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	9	2	10.0	14.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	10	3	0.0	0.0	1	17.0	17.0	0	0.0	0.0	N/A
ABQ	11	4	12.0	13.0	0	0.0	0.0	0	0.0	0.0	N/A
ABQ	12	1	0.0	11.0	0	0.0	0.0	0	0.0	0.0	N/A
ABR	4	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACK	6	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACK	8	2	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACT	7	1	0.0	1.0	0	0.0	0.0	0	0.0	0.0	N/A
ACV	3	0	0.0	0.0	0	0.0	0.0	1	63.0	70.0	N/A
ACV	10	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACY	3	1	0.0	0.0	1	60.0	57.0	0	0.0	0.0	N/A
ACY	4	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACY	7	1	4.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ACY	8	2	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ADQ	1	0	0.0	0.0	0	0.0	0.0	1	116.0	105.0	N/A
AEX	10	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AGS	3	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ALB	1	3	5.0	0.0	1	39.0	15.0	1	181.0	188.0	N/A
ALB	3	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ALB	4	2	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ALB	6	3	6.0	40.0	0	0.0	0.0	0	0.0	0.0	N/A
ALB	8	0	0.0	0.0	0	0.0	0.0	1	155.0	191.0	N/A
ALB	9	3	0.0	24.0	0	0.0	0.0	0	0.0	0.0	N/A
ALB	10	2	2.0	4.0	0	0.0	0.0	0	0.0	0.0	N/A
ALW	7	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	1	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	2	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	5	1	11.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	8	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	9	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
AMA	10	2	0.0	9.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	2	0	0.0	0.0	1	15.0	14.0	0	0.0	0.0	N/A
ANC	3	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	4	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	5	5	3.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	6	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	7	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	8	4	3.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	9	5	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ANC	12	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ASE	3	0	0.0	0.0	1	41.0	15.0	0	0.0	0.0	N/A
ASE	6	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ASE	7	1	0.0	0.0	0	0.0	0.0	0	0.0	0.0	N/A
ASE	8	2	0.0	0.0	1	55.0	27.0	0	0.0	0.0	N/A
ASE	9	1	0.0	5.0	0	0.0	0.0	0	0.0	0.0	N/A
ATL	1	34	6.75	16.714285714285715	2	30.0	10.5	3	105.33333333333333	104.33333333333333	N/A
ATL	2	32	8.833333333333334	7.2	6	37.166666666666664	32.0	0	0.0	0.0	N/A
ATL	3	31	5.111111111111111	12.285714285714286	3	44.333333333333336	38.333333333333336	2	89.0	87.0	N/A
ATL	4	34	4.0	8.714285714285714	4	38.75	42.25	2	80.5	64.5	N/A
ATL	5	33	8.0	9.0	5	42.4	34.2	4	101.5	118.25	N/A
ATL	6	24	5.571428571428571	35.8	8	26.0	18.0	3	119.0	116.0	N/A
ATL	7	17	3.5	30.666666666666668	9	26.666666666666668	21.625	6	143.16666666666666	140.83333333333334	N/A
ATL	8	35	7.4	11.6	5	29.6	38.25	4	104.5	97.0	N/A
ATL	9	39	6.6	7.2	4	29.0	19.75	6	137.16666666666666	141.83333333333334	N/A
ATL	10	54	4.0	7.166666666666667	3	27.0	36.666666666666664	1	100.0	92.0	N/A
