ORIGIN	MONTH	VOLI_BASSO	AVG_DEP_BASSO	AVG_ARR_BASSO	VOLI_MEDIO	AVG_DEP_MEDIO	AVG_ARR_MEDIO	VOLI_ALTO	AVG_DEP_ALTO	AVG_ARR_ALTO	CAUSA_CANC_FREQ
ABE	1	26	5.83	7.0	3	21.0	28.0	2	229.0	202.5	N/A
ABE	2	26	5.5	16.5	3	37.67	26.33	5	292.8	282.6	N/A
ABE	3	43	8.5	4.67	2	27.0	22.5	2	240.5	243.5	N/A
ABE	4	40	6.0	5.33	5	42.8	39.5	3	185.33	170.67	N/A
ABE	5	37	4.86	6.6	3	21.67	16.33	2	76.0	75.5	N/A
ABE	6	36	6.88	9.0	2	34.5	18.5	2	481.5	483.5	N/A
ABE	7	33	4.33	30.0	4	41.0	48.0	4	96.0	84.75	N/A
ABE	8	30	4.17	15.2	6	33.83	30.67	1	116.0	108.0	N/A
ABE	9	28	4.17	13.67	2	31.0	45.0	2	131.5	114.5	N/A
ABE	10	26	8.33	10.0	5	30.2	13.75	2	103.5	92.0	N/A
