origin	month	voli_basso	avg_dep_basso	avg_arr_basso	voli_medio	avg_dep_medio	avg_arr_medio	voli_alto	avg_dep_alto	avg_arr_alto	causa_canc_piu_frequente
ABE	1	135	6.5	14.32	10	38.0	39.78	15	224.47	218.4	N/A
ABE	2	142	5.92	16.94	7	32.57	20.71	7	261.29	254.71	N/A
ABE	3	171	6.93	8.91	17	31.06	26.0	8	160.75	154.88	N/A
ABE	4	155	5.13	7.0	15	35.93	28.36	18	294.44	282.83	N/A
ABE	5	153	6.05	9.46	13	27.77	28.62	19	185.11	179.26	N/A
ABE	6	169	5.4	10.07	15	25.0	22.29	18	152.61	145.56	N/A
ABE	7	152	5.4	20.73	18	36.56	37.11	23	143.04	139.57	N/A
ABE	8	143	5.33	15.2	24	36.04	34.26	14	120.86	118.07	N/A
ABE	9	131	7.13	14.46	10	37.2	34.0	10	168.4	164.3	N/A
ABE	10	146	7.18	21.43	18	25.78	14.13	7	96.43	92.0	N/A
